claim_key,evidence_family,status,support_score,primary_metric_label,primary_metric_value,allowed_claim,blocked_claim,source
field_dataset_methods_2d_line_profiles,dataset_geometry,supported,1.0,profile_count,4.0,Dense along-line local GSSI profiles can support 2D field QC and methods context.,"3D survey, field FWI benchmark, radius recovery, or cover-depth recovery.",081_gssi51600s_field_acquisition_readiness_audit
short_pair_relative_time_zero,timing,supported,1.0,nominal_relative_offset_ns,0.12770137524557956,Short repeat pair supports a relative time-zero correction and corrected-stack QC.,"Absolute time-zero calibration, field FWI, 3D inversion, radius, or cover-depth recovery.",105_gssi51600s_field_timing_discriminant_scorecard
early_common_mode_anchor,timing,scope_limited,1.0,early_uniqueness_margin,3.0170581459376677e-05,Early/direct windows can be reported as common-mode timing controls.,Absolute time-zero calibration.,105_gssi51600s_field_timing_discriminant_scorecard
raw_no_correction_control,timing,rejected_control,1.0,raw_supported_fraction,0.0,Raw/no-correction rows are useful as a negative-control baseline.,Uncorrected short-pair timing support.,105_gssi51600s_field_timing_discriminant_scorecard
long_profile_pattern_only_alignment,timing,scope_limited,1.0,pattern_offset_ns,0.060000000000000275,Long profiles support stable pattern-only visual QC.,"Phase time-zero, short-transfer timing, field FWI, or 3D inversion.",105_gssi51600s_field_timing_discriminant_scorecard
corrected_stack_supported_intervals,event_support,scope_limited,0.28112449799196787,all_window_supported_fraction,0.28112449799196787,Corrected-stack visual QC can be used inside supported intervals.,Full-profile interpretation or field inversion outside supported intervals.,072_gssi51600s_field_event_support_tiers
short_content_event_support,event_support,scope_limited,0.6666666666666666,min_content_abs_corr,0.8194940543205603,Short-pair content-backed timing is usable as local field QC.,"Known-truth geometry, radius, or calibrated cover-depth evidence.",072_gssi51600s_field_event_support_tiers
field_cue_spacing_context,spacing,context_only,1.0,field_to_synthetic_spacing_ratio,5.39946,Measured visible cue spacings can contextualize the synthetic close-spacing stress scale.,Measured-field validation of synthetic close-spacing resolution thresholds.,093_gssi51600s_field_cue_spacing_context_audit
apparent_depth_scale_qc,depth_scale,scope_limited,0.16666666666666663,max_corrected_depth_residual_mm,4.908193483955463,Apparent-depth scale can be used as relative QC after short-pair correction.,Calibrated cover-depth recovery.,084_gssi51600s_field_apparent_depth_qc
cover_depth_recovery,depth_scale,blocked,0.0,max_apparent_depth_span_mm,149.9159238899803,None from the current field dataset beyond apparent-depth QC scale.,Cover-depth recovery from this field dataset.,085_gssi51600s_field_apparent_depth_sensitivity
radius_or_parametric_field_inversion,inversion,blocked,0.0,max_near_top_time_zero_span_ns,0.3,None; keep radius and parametric field inversion claims on synthetic known-truth data.,Radius recovery or calibrated parametric inversion from these field profiles.,086_gssi51600s_field_hyperbola_timezero_degeneracy_audit
field_fwi_3d_hpc_submission,compute_readiness,blocked,0.0,field_hpc_priority,0.0,No local or NERSC field-side heavy job is justified from this dataset alone.,"Field FWI, 3D inversion, or A100/HPC submission from these field profiles.",081_gssi51600s_field_acquisition_readiness_audit
field_publication_bundle_current,manuscript_handoff,supported,1.0,publication_bundle_figure_count,20.0,Use the current field publication bundle for paper-facing field figures and claim boundaries.,Treating the standalone timing scorecard as already promoted into a refreshed bundle.,102_gssi51600s_field_publication_claim_bundle_post_timing_window_family
