factor_key,factor_type,close50_value,close14_value,matched_or_intended,manuscript_impact,recommended_action
source3_seed_values,matched_control,"13,21,34","13,21,34",True,supports three-seed comparison for the source3 contrast,use as matched control
source3_replication_cases,matched_control,"noise10_seed34|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed34|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed13|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed13|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed21|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed21|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1","noise10_seed34|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed34|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed13|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed13|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1,noise10_seed21|freq=1|shift_ps=0|amp=1|noise=0.1;source_mismatch_noise10_seed21|freq=1.1|shift_ps=-50|amp=1.1|noise=0.1",True,supports nominal/source-mismatch pairing across families,use as matched control
source3_source_count,matched_control,3,3,True,source count is matched for the cross-spacing source3 contrast,use as matched control
target_depths_and_radii,matched_control,"z=90,90,90; r=5,6,8","z=90,90,90; r=5,6,8",True,depth and radius are not the reason for the source3 contrast,use as matched control
target0_target1_gap_mm,matched_control,60,60,True,left-pair geometry is matched while target2 spacing changes,use as matched context
target1_target2_gap_mm,intended_spacing_axis,50,14,True,"this is the intended close-spacing contrast axis, not an accidental confound",state explicitly in manuscript
tx_rx_offset_mm,acquisition_confound,40,45,False,prevents a spacing-only causal claim from the cross-family source3 contrast,only run a matched Tx/Rx probe if the paper needs spacing-only causality
target2_absolute_x_mm,geometry_confound,300,264,False,absolute target2 position differs along with the intended target1-target2 gap,avoid claiming isolated spacing causality
receiver_sampling_metadata,metadata_gap,"missing,nearest","missing,nearest",True,older seed34 summaries lack explicit receiver_sampling even though newer runs record nearest,"treat as metadata caveat, not a launch trigger"
source5_context_scope,context_only,matched_source_count_transition,three_seed_source5_noise_boundary_context,False,source5 cross-family comparison mixes nominal close50 context with close14 noise-boundary context,use source5 only as within-family/context evidence
