domain,metric,value,interpretation
synthetic_2d,publication_figure_count,9.0,current synthetic publication figures
synthetic_2d,publication_claim_boundary_count,11.0,current synthetic claim boundaries
synthetic_2d,next_matrix_immediate_gpu_candidates,0.0,no current synthetic immediate GPU queue
synthetic_2d,source_figure_notes_present_after_count,9.0,paper-facing synthetic source figures with FIGURE_NOTES.md
field_2d,publication_figure_count,20.0,current field publication figures
field_2d,publication_claim_boundary_count,19.0,current field claim boundaries
field_2d,cue_spacing_min_same_time_spacing_mm,96.657,"field context only, not known-truth resolution validation"
field_2d,timing_anchor_early_vs_short_delta_half_widths,2.1666666666666687,"timing-anchor scope boundary, not absolute time-zero"
field_2d,timing_anchor_long_vs_short_delta_half_widths,1.148666666666663,long timing remains pattern-only relative to short content timing
field_2d,timing_window_early_strict_near_zero_lag_count,6.0,"early/ringdown windows remain common-mode, not content time-zero"
field_2d,timing_window_short_nonraw_supported_count,18.0,non-raw short content windows support the relative correction
field_2d,timing_window_long_reject_short_transfer_count,3.0,long windows reject transferring the short-pair correction
field_2d,field_policy_ready_for_field_fwi,0.0,0 means field FWI remains blocked
field_2d,source_figure_notes_present_after_count,20.0,paper-facing field source figures with FIGURE_NOTES.md
cross_bundle,validated_figure_file_count,29.0,validated synthetic plus field figure files
cross_bundle,claim_boundary_row_count,30.0,complete synthetic plus field claim-boundary rows
synthetic_2d,target1_probe_triggered_gate_count,0.0,0 means target1 has no CPU-side gate justifying a GPU probe
synthetic_2d,target1_probe_gpu_action_count,0.0,0 keeps target1 on CPU-side policy synthesis
synthetic_2d,target1_probe_ready_for_gpu,0.0,0 means a new target1 hypothesis is required before GPU work
synthetic_2d,target1_base_weak_exact_count,43.0,target1 weak-but-exact base rows represented in the scorecard
synthetic_2d,target1_late_high_accepted_count,132.0,late_high rows accepted by the current target1 policy
synthetic_2d,detector_handoff_cheapest_full_triples_per_case,1140.0,candidate-list FWI cost before a waveform gate
synthetic_2d,detector_handoff_best_deployable_all_truth_cases,2.0,truth-free detector handoff recovery count across cases
synthetic_2d,detector_handoff_oracle_all_truth_cases,7.0,oracle upper bound for detector handoff recovery
synthetic_2d,detector_handoff_ready_for_fwi,0.0,0 means detector-seeded FWI is not yet a narrow run
synthetic_2d,detector_alltriples_combo_row_count,12180.0,CPU-scored detector triple combinations
synthetic_2d,detector_alltriples_best_top1_all_truth_cases,0.0,top-1 all-truth recovery after objective scoring
synthetic_2d,detector_alltriples_best_top10_all_truth_cases,2.0,top-10 all-truth recovery after objective scoring
synthetic_2d,detector_alltriples_best_top50_all_truth_cases,8.0,top-50 all-truth recovery after objective scoring
synthetic_2d,detector_alltriples_ready_for_fwi,0.0,0 means all-triples gating still does not justify FWI
field_2d,field_cue_catalog_raw_cue_count,19.0,raw measured-field cue count before support filtering
field_2d,field_cue_catalog_support_anchor_count,11.0,field cues that have explicit support-tier anchoring
field_2d,field_cue_catalog_short_content_backed_anchor_count,2.0,short-profile content-backed timing anchors
field_2d,field_cue_catalog_ready_for_field_fwi,0.0,"0 means measured-field cues remain QC only, not inversion-ready"
field_2d,field_cue_catalog_ready_for_3d_hpc,0.0,0 means the local GSSI dataset does not justify 3D/HPC escalation
