case_label,branch_key,seed,case_variant,detector_reliability_label,detector_review,detector_tuning_sensitive,detector_success_fraction,detector_max_slot_x_range_mm,detector_max_slot_z_range_mm,detector_dominant_selection,physics_family,synthetic_case_label,synthetic_confidence_present,synthetic_tx_rx_offset_mm,synthetic_first_clean_tx_rx_offset_mm,synthetic_offset_below_first_clean_mm,synthetic_below_first_clean_threshold,synthetic_truth_geometry,synthetic_strong_confidence,synthetic_strict_clean_row,synthetic_x_ambiguity_width_mm,synthetic_x_ambiguous_row,synthetic_run_policy_label,review_near_boundary_nominal
target2_close14|seed13|nominal,target2_close14,13,nominal,stable_truth_free_assignment,False,False,1.0,1.0,20.0,"185,250,265",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,stable_truth_free_assignment,False,False,1.0,2.0,9.0,"188,252,264",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close14|seed21|nominal,target2_close14,21,nominal,stable_truth_free_assignment,False,False,1.0,0.0,0.0,"191,254,266",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,stable_truth_free_assignment,False,False,1.0,4.0,18.0,"191,248,263",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close14|seed34|nominal,target2_close14,34,nominal,stable_truth_free_assignment,False,False,1.0,0.0,0.0,"190,260,272",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,stable_truth_free_assignment,False,False,1.0,3.0,10.0,"191,247,263",close14_detector_reference,,False,,,,False,False,False,False,,False,,False
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,review_policy_grid_position_drift,True,True,0.875,21.0,13.0,"187,250,294",close50_linear29p5_below_first_clean_boundary,noise10_seed13,True,29.5,30.0,0.5,True,True,True,False,1.0,True,single_seed_exact_strong_x_ambiguous,True
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,stable_truth_free_assignment,False,False,1.0,5.0,26.0,"187,253,300",close50_linear29p5_below_first_clean_boundary,source_mismatch_noise10_seed13,True,29.5,30.0,0.5,True,True,True,True,0.0,False,single_seed_exact_strong_x_ambiguous,False
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,stable_truth_free_assignment,False,False,1.0,2.0,19.0,"190,253,298",close50_linear29p5_below_first_clean_boundary,noise10_seed21,True,29.5,30.0,0.5,True,True,True,True,0.0,False,single_seed_clean,False
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,stable_truth_free_assignment,False,False,1.0,2.0,21.0,"188,252,294",close50_linear29p5_below_first_clean_boundary,source_mismatch_noise10_seed21,True,29.5,30.0,0.5,True,True,True,True,0.0,False,single_seed_clean,False
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,review_policy_grid_position_drift,True,True,0.53125,20.0,17.0,"183,237,296",close50_linear29p5_below_first_clean_boundary,noise10_seed34,True,29.5,30.0,0.5,True,True,True,True,0.0,False,single_seed_clean,True
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,stable_truth_free_assignment,False,False,1.0,1.0,13.0,"182,250,295",close50_linear29p5_below_first_clean_boundary,source_mismatch_noise10_seed34,True,29.5,30.0,0.5,True,True,True,True,0.0,False,single_seed_clean,False
