case_label,branch_key,seed,case_variant,detector_reliability_label,detector_review,detector_success_fraction,detector_max_slot_x_range_mm,truth_free_stable_under_slot_gate,policy_stability_label,policy_success_fraction,branch_transfer_failure,candidate_component_seed_ready,sampling_family,sampling_tx_rx_offset_mm,sampling_first_clean_threshold_mm,sampling_below_clean_threshold,sampling_boundary_status,sampling_paper_role,synthetic_x_ambiguous_row,synthetic_strict_clean_row,review_near_boundary_nominal,integration_label,paper_use,gpu_action
target2_close14|seed13|nominal,target2_close14,13,nominal,stable_truth_free_assignment,False,1.0,1.0,True,full_success_multi_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,stable_truth_free_assignment,False,1.0,2.0,True,full_success_multi_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close14|seed21|nominal,target2_close14,21,nominal,stable_truth_free_assignment,False,1.0,0.0,True,full_success_single_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,stable_truth_free_assignment,False,1.0,4.0,True,full_success_multi_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close14|seed34|nominal,target2_close14,34,nominal,stable_truth_free_assignment,False,1.0,0.0,True,full_success_single_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,stable_truth_free_assignment,False,1.0,3.0,True,full_success_multi_selection,1.0,False,True,,,,False,not_in_close50_boundary,detector_reference,False,False,False,stable_reference_branch,stable detector seed-table evidence,none
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,review_policy_grid_position_drift,True,0.875,21.0,False,tuning_sensitive_partial_success,0.875,True,False,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,True,False,True,review_localized_to_sub30_nominal_caveat,detector review supports close50 sub-30 caveat,none
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,stable_truth_free_assignment,False,1.0,5.0,True,full_success_multi_selection,1.0,False,True,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,False,True,False,stable_despite_sub30_caveat,stable detector seed-table evidence,none
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,stable_truth_free_assignment,False,1.0,2.0,True,full_success_multi_selection,1.0,False,True,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,False,True,False,stable_despite_sub30_caveat,stable detector seed-table evidence,none
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,stable_truth_free_assignment,False,1.0,2.0,True,full_success_multi_selection,1.0,False,True,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,False,True,False,stable_despite_sub30_caveat,stable detector seed-table evidence,none
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,review_policy_grid_position_drift,True,0.53125,20.0,False,tuning_sensitive_partial_success,0.53125,False,False,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,False,True,True,review_localized_to_sub30_nominal_caveat,detector review supports close50 sub-30 caveat,none
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,stable_truth_free_assignment,False,1.0,1.0,True,full_success_multi_selection,1.0,False,True,linear_receiver,29.5,30.0,True,exact_strong_not_clean,sub30_exact_strong_caveat,False,True,False,stable_despite_sub30_caveat,stable detector seed-table evidence,none
