case_label,branch_key,seed,case_variant,all_truth_triple_count,best_feature,best_first_all_truth_rank,best_budget_label,leave_one_feature,leave_one_first_all_truth_rank,leave_one_budget_label,leave_one_top_truth_hit_count,leave_one_top_candidate_x_values_mm,best_false_minus_truth_score_gap,positive_gap_feature_count,blocker_label,recommended_next
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,2,score_component_balanced,3.0,top10,x_span_target80_inverse,794.0,deeper_than_top200,1,"217,252,294",0.02075014508703199,22,feature_generalization_failure,branch_conditioned_cpu_selector_or_holdout_robustness_audit
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,1,x_span_width,2.0,top10,x_span_target80_inverse,590.0,deeper_than_top200,2,"182,257,258",0.0,21,feature_generalization_failure,branch_conditioned_cpu_selector_or_holdout_robustness_audit
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,2,score_component_balanced,10.0,top10,x_span_target80_inverse,372.0,deeper_than_top200,1,"212,250,291",0.07014021821823091,22,feature_generalization_failure,branch_conditioned_cpu_selector_or_holdout_robustness_audit
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,1,x_span_target110_inverse,60.0,top200,score_component_balanced,151.0,top200,0,"184,270,299",3.0,22,cv_rank_gate_deep_but_bounded,keep_as_rank_gated_upper_bound_do_not_launch_fwi
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,2,x_span_target110_inverse,15.0,top50,score_component_balanced,56.0,top200,1,"183,272,301",0.0,21,cv_rank_gate_deep_but_bounded,keep_as_rank_gated_upper_bound_do_not_launch_fwi
target2_close14|seed13|nominal,target2_close14,13,nominal,8,x_span_target70_inverse,4.0,top10,score_component_balanced,50.0,top50,1,"221,261,273",0.0,20,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close14|seed34|nominal,target2_close14,34,nominal,12,x_span_target70_inverse,3.0,top10,score_component_balanced,43.0,top50,1,"224,260,272",0.0,20,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,1,score_component_balanced,27.0,top50,score_component_balanced,27.0,top50,1,"185,272,303",0.0698716421812855,22,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,8,x_span_target70_inverse,2.0,top10,score_component_balanced,24.0,top50,2,"188,261,273",0.0,21,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,4,score_min_span,18.0,top50,score_component_balanced,23.0,top50,1,"181,263,271",0.043797638948110396,22,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,4,x_span_target80_inverse,3.0,top10,score_component_balanced,12.0,top50,1,"188,250,264",0.0,21,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
target2_close14|seed21|nominal,target2_close14,21,nominal,4,score_span_bonus,7.0,top10,score_component_balanced,12.0,top50,1,"220,263,266",0.055465930252387885,22,top1_selector_gap_rank_gate_ok,report_detector_as_candidate_list_baseline
