run,slug,path,bucket,proposed_action,has_data_dir,has_figures_dir,has_figure_notes,has_readme,has_manifest,file_count,image_file_count,size_bytes
535,source_shape_center_interval_reporting_handoff,outputs/experiments/535_source_shape_center_interval_reporting_handoff,keep_substantive_experiment_or_diagnostic,keep_in_main_experiment_archive,True,False,False,True,True,3,0,3762
536,single_rebar_shallow_r4_reporting_handoff,outputs/experiments/536_single_rebar_shallow_r4_reporting_handoff,keep_substantive_experiment_or_diagnostic,keep_in_main_experiment_archive,True,False,False,True,True,3,0,4434
537,marathon_checkpoint_reporting_handoff,outputs/experiments/537_marathon_checkpoint_reporting_handoff,relocate_or_consolidate_admin_churn,candidate_move_to_outputs/experiment_admin_archive/535_735_with_compatibility_link,True,False,False,True,True,3,0,4335
538,current_evidence_synthesis,outputs/experiments/538_current_evidence_synthesis,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,False,False,True,True,3,0,5184
539,results_section_draft,outputs/experiments/539_results_section_draft,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,False,False,False,True,2,0,3550
540,results_methods_evidence_table,outputs/experiments/540_results_methods_evidence_table,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,False,False,False,True,2,0,3120
541,combined_report_draft,outputs/experiments/541_combined_report_draft,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,False,False,False,True,2,0,5433
542,decision_figure_map,outputs/experiments/542_decision_figure_map,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,False,False,False,True,2,0,3995
543,compact_objective_summary_figure,outputs/experiments/543_compact_objective_summary_figure,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,True,True,False,True,4,1,105236
544,decision_figure_readiness_audit,outputs/experiments/544_decision_figure_readiness_audit,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,False,False,True,True,4,0,15262
545,report_figure_caption_package,outputs/experiments/545_report_figure_caption_package,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,True,True,False,True,3,0,8683
546,report_claim_consistency_audit,outputs/experiments/546_report_claim_consistency_audit,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,False,False,False,True,3,0,6343
547,reporting_reproducibility_bundle,outputs/experiments/547_reporting_reproducibility_bundle,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,False,False,True,True,3,0,4599
548,final_report_markdown,outputs/experiments/548_final_report_markdown,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,False,False,False,False,True,2,0,8828
549,final_report_editorial_lint,outputs/experiments/549_final_report_editorial_lint,keep_report_dev_or_analysis,keep_in_place_or_link_from_report_dev_index,True,False,False,False,True,3,0,3198
