domain,metric,value,interpretation
synthetic_2d,publication_figure_count,9.0,current synthetic publication figures
synthetic_2d,publication_claim_boundary_count,11.0,current synthetic claim boundaries
synthetic_2d,next_matrix_immediate_gpu_candidates,0.0,no current synthetic immediate GPU queue
synthetic_2d,source_figure_notes_present_after_count,9.0,paper-facing synthetic source figures with FIGURE_NOTES.md
field_2d,publication_figure_count,20.0,current field publication figures
field_2d,publication_claim_boundary_count,19.0,current field claim boundaries
field_2d,cue_spacing_min_same_time_spacing_mm,96.657,"field context only, not known-truth resolution validation"
field_2d,timing_anchor_early_vs_short_delta_half_widths,2.1666666666666687,"timing-anchor scope boundary, not absolute time-zero"
field_2d,timing_anchor_long_vs_short_delta_half_widths,1.148666666666663,long timing remains pattern-only relative to short content timing
field_2d,timing_window_early_strict_near_zero_lag_count,6.0,"early/ringdown windows remain common-mode, not content time-zero"
field_2d,timing_window_short_nonraw_supported_count,18.0,non-raw short content windows support the relative correction
field_2d,timing_window_long_reject_short_transfer_count,3.0,long windows reject transferring the short-pair correction
field_2d,field_policy_ready_for_field_fwi,0.0,0 means field FWI remains blocked
field_2d,source_figure_notes_present_after_count,20.0,paper-facing field source figures with FIGURE_NOTES.md
cross_bundle,validated_figure_file_count,29.0,validated synthetic plus field figure files
cross_bundle,claim_boundary_row_count,30.0,complete synthetic plus field claim-boundary rows
