contribution_key,manuscript_role,readiness,readiness_score,novelty_angle,current_evidence,prior_art_boundary,limitation,next_action,gpu_priority
controlled_close_spacing_resolution_map,core_result,ready,1.0,"Controlled acquisition-aware resolution/ambiguity mapping for nearby rebars, not a universal rebar-detection claim.","Report acquisition- and objective-specific clean/interval/mixed resolution regions, using the current resolution-claim map.",Close rebar detection/sizing and FWI exist; the publishable angle is the explicit ambiguity-margin and acquisition-dependence protocol.,Do not present a universal physical rebar spacing limit from these synthetic sweeps.,Use the current resolution-claim map and claim-boundary CSV in manuscript drafting.,none
objective_near_tie_reporting_protocol,core_method,ready,0.95,"Separate exact recovery, strict location-clean geometry, zero-width objective near ties, and geometry-ambiguous intervals.","Report exact-strong, strict location-clean, zero-width objective near-tie, and geometry-ambiguous near-tie as separate tiers.",Prior work often reports best estimates or accuracy; this project can emphasize near-best competitor and ambiguity-interval reporting.,Do not collapse exact-strong rows into paper-clean location claims without checking geometry ambiguity widths.,Make the tier definitions a methods subsection before reporting performance tables.,none
target2_close14_objective_limit,negative_result,ready,0.92,Truth selection can be strong while objective uniqueness remains blocked by a +1 mm competitor.,"For target2 close14 source5 / Tx/Rx=45 mm, the three-seed probe selected truth with strong radius confidence in 6 / 6 rows, but the +1 mm x competitor remained inside the 0.5x ambiguity gate in 6 / 6 rows.",Close-spacing difficulty is known; the useful result is quantified near-tie persistence.,Do not describe this branch as clean lateral resolution or as an objective-unique inversion result.,"Report as a controlled failure-mode boundary, not as clean close14 resolution.",none
target2_close50_seed_frequency_caveat,acquisition_result,ready,0.88,Three-seed frequency separates exact/strong recovery from clean replicated lateral resolution.,"For target2 close50 linear receiver Tx/Rx=29.5 mm, the three-seed policy selected the true geometry with strong radius confidence in 6 / 6 rows. Strict-clean support is 2 / 3 seeds; seed13 remains an x-ambiguity caveat.",Sub-threshold spacing claims need seed replication and ambiguity gating.,Do not promote 29.5 mm to a clean replicated sub-30 mm threshold; keep the nearest-sampled 30 mm result as the paper-safe clean threshold.,Keep 30 mm as paper-safe clean threshold; describe 29.5 mm as exact but not clean-replicated.,none
target1_acquisition_confidence_surface,acquisition_result,ready,0.82,Stable exact geometry can coexist with nonmonotonic source-density confidence behavior.,Use target1 as an example of stable exact geometry with acquisition-sensitive confidence and nonmonotonic source-density behavior.,Acquisition design is common; the angle is target-specific confidence policy.,Do not claim source-count escalation is a general target1 rescue rule or launch target1 reruns without a new hypothesis.,"Use target1 as acquisition-policy evidence, not as a reason for broad source-count reruns.",none
field_2d_qc_supplement,field_supplement,ready,1.0,"Measured GSSI data support scoped 2D QC, timing discipline, and claim boundaries.",field claim-viability rows=13; 2D QC status=supported; short timing status=supported,Field data strengthen practical context but do not validate synthetic known-truth thresholds.,"No absolute time-zero, target labels, crossline grid, field FWI, cover-depth, or radius validation.",Use field figures as a supplement/methods QC package with explicit blocked-claim language.,none
field_synthetic_scope_separation,guardrail,ready,1.0,The paper can be honest about measured field QC versus synthetic known-truth resolution.,"Field timing windows support a scoped timing/repeatability supplement and keep short, early, and long timing families separate.",Applied competitors often include lab/field validation; this project should not overstate field proof.,Field cue spacing and timing QC do not relabel synthetic confidence thresholds.,Keep synthetic and field claim tables separate through drafting.,none
neural_network_baseline_not_current_path,future_work,deferred,0.25,"Neural methods are relevant baselines/surrogates, not current local training targets.",local neural triage present,"CNN/YOLO, learned forward solvers, and 3DInvNet-like inversion already exist.",Current local field data have four profiles and no labels/3D grid; training would be premature.,Use neural work as literature/baseline context unless a labeled synthetic benchmark is designed.,none
literature_positioning_boundary,framing,ready,0.9,Do not claim first GPR FWI rebar sizing; claim controlled identifiability and ambiguity protocol.,local literature positioning matrix present,"FWI sizing, source-wavelet handling, MIMO sizing, and ML detection are established.",The strongest present evidence remains controlled synthetic plus scoped field QC.,Use the literature matrix to write the introduction and limitations without novelty overreach.,none
current_no_gpu_queue,compute_policy,ready,1.0,"Research priority is manuscript synthesis and narrow hypothesis design, not broad GPU use.",Current manuscript tables are ready without a local GPU run.; synthetic figures=9; synthetic claims=11; archive runs=1325; immediate_gpu=0; conditional_gpu=0,More compute is not a contribution unless tied to a new hypothesis or baseline comparison.,"No current matrix row justifies broad local GPU, field FWI, or HPC work.","Draft, audit, or design a genuinely new narrow hypothesis before any GPU submission.",none
