domain,claim_order,claim_area,paper_use_tier,allowed_claim,not_allowed
synthetic_2d,1,resolution_limit,main_result,"Report acquisition- and objective-specific clean/interval/mixed resolution regions, using the current resolution-claim map.",Do not present a universal physical rebar spacing limit from these synthetic sweeps.
synthetic_2d,2,close50_legacy_branch,supporting_policy,"Use the refreshed 270/280 audit to say the old close50 Tx/Rx 40 target2 branch is resolved by later midpoint, replicated 28.75 mm non-clean, and replicated 30 mm clean-threshold evidence.",Do not repeat the old Tx/Rx 40 branch or present it as an all-target resolution result.
synthetic_2d,3,confidence_policy,supporting_policy,"Separate truth selection, strict base-margin confidence, and secondary diagnostic confirmation.",Do not call weak-exact rows fully accepted under the canonical base policy.
synthetic_2d,4,reporting_tiers,supporting_policy,"Report exact-strong, strict location-clean, zero-width objective near-tie, and geometry-ambiguous near-tie as separate tiers.",Do not collapse exact-strong rows into paper-clean location claims without checking geometry ambiguity widths.
synthetic_2d,5,objective_uniqueness,supporting_policy,Zero-width objective near-ties occur for targets 1 and 2; they limit objective-uniqueness wording but not location-clean geometry wording.,Do not describe zero-width near-tie rows as uniquely isolated objective basins.
synthetic_2d,6,target_specificity,supporting_policy,Geometry ambiguity in exact-strong archive rows is target-specific to target2; target2 strict location-clean fraction is 0.921348 in the current claim-tier table.,"Do not imply target0, target1, and target2 share the same ambiguity profile."
synthetic_2d,7,target1_acquisition_confidence,supporting_policy,Use target1 as an example of stable exact geometry with acquisition-sensitive confidence and nonmonotonic source-density behavior.,Do not claim source-count escalation is a general target1 rescue rule or launch target1 reruns without a new hypothesis.
synthetic_2d,8,target2_close14_objective_limit,main_result,"For target2 close14 source5 / Tx/Rx=45 mm, the three-seed probe selected truth with strong radius confidence in 6 / 6 rows, but the +1 mm x competitor remained inside the 0.5x ambiguity gate in 6 / 6 rows.",Do not describe this branch as clean lateral resolution or as an objective-unique inversion result.
synthetic_2d,9,target2_close50_linear29p5_seed_frequency,main_result,"For target2 close50 linear receiver Tx/Rx=29.5 mm, the three-seed policy selected the true geometry with strong radius confidence in 6 / 6 rows. Strict-clean support is 2 / 3 seeds; seed13 remains an x-ambiguity caveat.",Do not promote 29.5 mm to a clean replicated sub-30 mm threshold; keep the nearest-sampled 30 mm result as the paper-safe clean threshold.
synthetic_2d,10,gpu_next_step,guardrail,"Current synthetic policy has no open modern ringdown050, close14 objective-limit, close50 seed-frequency, or target1 source-density GPU-priority exception.","Do not launch broad GPU sweeps without a new objective, geometry, or acquisition question."
synthetic_2d,11,field_separation,guardrail,Keep synthetic policy claims separate from local GSSI field QC claims.,Do not use field QC to change known-truth synthetic confidence labels.
field_2d,1,field_geometry,field_supplement_guardrail,The local GSSI data are independent 2D line-profile QC evidence.,Do not treat the dataset as a recovered 3D survey grid without external layout metadata.
field_2d,2,short_profile_timing,field_supplement_result,Use short 014/016 content-backed and supported-stack figures for relative timing/repeatability QC.,"Do not claim absolute time-zero, cover depth, radius, or measured-data FWI from these panels."
field_2d,3,long_profile_pattern,field_supplement_result,Use long 015/013 figures as pattern-only QC at the robust +0.06 ns shift.,Do not call the long-profile shift a phase anchor or transferable time-zero correction.
field_2d,4,synthetic_separation,guardrail,Keep field QC and known-truth synthetic confidence policies separate.,Do not use field QC to relabel synthetic optimizer success or ambiguity tiers.
field_2d,5,gpu_next_step,guardrail,No field GPU/FWI run is justified without external survey geometry or a new measured-data objective.,Do not launch field FWI/3D runs from this dataset alone.
field_2d,6,long_profile_sensitivity,field_supplement_guardrail,The +0.06 ns long-profile pattern-only support survives the tested shallow time windows and anchor widths.,"Do not convert sensitivity robustness into absolute phase-anchor, cover-depth, radius, 3D, or FWI claims."
field_2d,7,long_relaxed_phase_anchor,field_supplement_guardrail,Use the relaxed long-profile phase-anchor audit as negative evidence: profile 013 candidates remain low-SNR and the long pair remains pattern-only QC.,"Do not promote relaxed late-window picks to absolute time-zero, cover-depth, radius, 3D, or measured-data FWI evidence."
field_2d,8,field_bandlimited_repeatability,field_supplement_guardrail,Use the band-limited repeatability audit to justify measured-field QC band choices for the short pair and pattern-only band support for the long pair.,"Do not convert band-limited repeatability into absolute time-zero, cover-depth, radius, 3D, or measured-data FWI evidence."
field_2d,9,field_event_support_tiers,field_supplement_guardrail,"Use the event-support tier table to separate short-pair content-backed timing QC, long-pair pattern-only support, band-limited repeatability, and explicit FWI/3D blockers.","Do not convert event-support tiers into field radius, cover-depth, 3D, or measured-data FWI claims."
