branch_key,seed,case_variant,run_name,best_config_key,best_assignment_policy_key,best_assignment_method,best_candidate_budget,best_min_x_separation_mm,best_assignment_status,best_unique_truth_hit_count,best_unique_all_truths_within_tolerance,best_unique_target0_hit,best_unique_target1_hit,best_unique_target2_hit,failure_label,assigned_x_values_mm,assigned_detection_ranks,assigned_x_span_mm,max_assigned_detection_rank
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,none_top20_moderate12_baseline,top20_minx8_span0p5,span0p5,20,8.0,assigned,3,True,True,True,True,all_truth,"187,256,268","14,1,6",81.0,14
target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,none_top20_moderate12_baseline,top10_minx8_span0p5,span0p5,10,8.0,assigned,3,True,True,True,True,all_truth,"192,258,272","9,1,5",80.0,9
target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,none_top20_moderate12_single667,top10_minx8_span0p5,span0p5,10,8.0,assigned,3,True,True,True,True,all_truth,"189,253,265","7,1,2",76.0,7
target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,median_top20_moderate12_wide,top20_minx8_span1,span1,20,8.0,assigned,3,True,True,True,True,all_truth,"189,258,272","15,1,7",83.0,15
target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,median_top20_moderate12_baseline,top20_minx8_span0p5,span0p5,20,8.0,assigned,3,True,True,True,True,all_truth,"193,248,261","11,4,1",68.0,11
target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,none_top20_moderate12_baseline,top10_minx8_span0p5,span0p5,10,8.0,assigned,3,True,True,True,True,all_truth,"195,256,270","9,1,4",75.0,9
target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,none_top20_distinct20_baseline,top10_minx8,score,10,8.0,assigned,2,False,False,True,True,target0_missed,"251,273,304","2,1,6",53.0,6
target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,median_top20_moderate12_wide,top20_minx45,score,20,45.0,assigned,3,True,True,True,True,all_truth,"184,252,302","16,2,12",118.0,16
target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,none_top20_distinct20_single667,top10_minx8,score,10,8.0,assigned,2,False,False,True,True,target0_missed,"247,273,303","1,5,4",56.0,5
target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,mean_top20_distinct20_wide,top20_minx8_span0p5,span0p5,20,8.0,assigned,2,False,True,True,False,target2_missed,"182,253,269","11,2,1",87.0,11
target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,none_top20_distinct20_baseline,top10_minx8,score,10,8.0,assigned,2,False,False,True,True,target0_missed,"251,272,303","2,1,6",52.0,6
target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,mean_top20_distinct20_wide,top20_minx45,score,20,45.0,assigned,2,False,True,True,False,target2_missed,"187,250,298","11,2,8",111.0,11
