domain,figure_key,source_run,policy_or_status,use_summary,metric_summary,figure_path,file_exists,figure_validated,figure_issue,figure_nonwhite_fraction,figure_dynamic_range,figure_width,figure_height,declared_validation_status,allowed_claim,prohibited_claim
synthetic_2d,current_resolution_claim_map,1307_synthetic_2d_resolution_claim_map_current,paper_ready_current_policy_figure,Current manuscript-facing synthetic 2D resolution claim map.,rows=8; nonoverlap=14.0 mm; close14_near_ties=6.0; close50_clean_seeds=2.0/3.0; gpu=none_now,outputs/experiments/1307_synthetic_2d_resolution_claim_map_current/figures/synthetic_2d_resolution_claim_map.png,True,True,,0.38795838515373793,255.0,2314.0,1294.0,figure_validated,"Use the current map to separate physical non-overlap guardrails, overlap stress tests, objective-uniqueness limits, and seed-frequency caveats.",Do not present the synthetic map as a universal rebar resolution law or as a reason for a broad GPU sweep.
synthetic_2d,resolution_envelope,1239_coordinate_resolution_policy_synthesis,paper_ready_policy_figure,Acquisition-aware close-spacing resolution envelope.,groups=15; clean=12; 35mm_clean_limit=30.0 mm; 45mm_clean_limit=14.0 mm,outputs/experiments/1239_coordinate_resolution_policy_synthesis/figures/coordinate_resolution_policy.png,True,True,,0.07994622745080023,255.0,2314.0,903.0,figure_validated,"Clean replicated spacing depends on Tx/Rx offset; 35 mm is clean to close30, 45 mm is clean through close14 in the tested branch.",Do not claim a universal rebar resolution limit independent of acquisition geometry or objective policy.
synthetic_2d,weak_exact_secondary_confirmation,1262_coordinate_weak_exact_secondary_confirmation_audit_700_1259,paper_ready_policy_figure,Separate point recovery from base-margin confidence.,"weak_exact=166; target2_full=target2; near=target0, target1",outputs/experiments/1262_coordinate_weak_exact_secondary_confirmation_audit_700_1259/figures/weak_exact_secondary_confirmation_audit.png,True,True,,0.3773447628292156,255.0,2739.0,835.0,figure_validated,Diagnostic objectives confirm many base-weak exact recoveries without replacing the canonical base gate.,Do not replace the production base confidence gate with diagnostic objectives.
synthetic_2d,target1_acquisition_confidence_surface,1312_target1_acquisition_confidence_surface,paper_ready_target1_policy_figure,Target1 acquisition-confidence and source-count behavior.,rows=133; exact=133; weak_exact=43; late_high=132/133; lower_best=7; terminal11_worse=2/2; gpu=none_now,outputs/experiments/1312_target1_acquisition_confidence_surface/figures/target1_acquisition_confidence_surface.png,True,True,,0.33580566095435427,255.0,2654.0,1481.0,figure_validated,"Target1 exact geometry is stable in the canonical archive, while base confidence is acquisition-sensitive and source-density escalation is nonmonotonic.",Do not present source-count escalation as a monotonic target1 rescue rule or launch a broad target1 GPU sweep from this table.
synthetic_2d,target1_source_density_exception_map,1314_target1_source_density_exception_map,paper_ready_target1_queue_figure,Target1 source-density exception closure and no-GPU queue.,series=17; modern_exceptions=0; legacy_exceptions=1; terminal11_worse=2/2; gpu=none,outputs/experiments/1314_target1_source_density_exception_map/figures/target1_source_density_exception_map.png,True,True,,0.1846349270161127,255.0,2535.0,1413.0,figure_validated,"Use this as the current target1 source-density closure: zero modern exceptions, one legacy ringdown025 caveat, and no target1 source-count GPU rerun under the current hypothesis.","Do not reopen target1 source-density GPU work without a new objective definition, geometry, or acquisition hypothesis."
synthetic_2d,close50_sub30_boundary,1275_close50_linear_sub30_bracket_policy,paper_ready_caveat_figure,Close50 sub-30 receiver-geometry boundary caveat.,"tested_offsets=29.5,29.75 mm; strong_rows=6; x_ambiguous=2",outputs/experiments/1275_close50_linear_sub30_bracket_policy/figures/close50_linear_sub30_bracket_policy.png,True,True,,0.46926224770536146,255.0,2331.0,835.0,figure_validated,Sub-30 linear samples are exact and strong but not strict-clean because seed13 remains x-ambiguous; keep nearest-sampled 30 mm.,Do not report sub-30 linear receiver rows as clean replicated thresholds.
synthetic_2d,close50_legacy_midpoint_refresh,1317_close50_legacy_270_280_policy_audit_post_28p75_seed13_replicate,paper_ready_legacy_refresh_figure,Replicated-midpoint refresh of the old close50 270/280 branch.,"first_clean=30.0 mm; nonclean=25,27.5,28.75 mm; clean=30,35,40 mm; replicated_midpoint=28.75 mm; midpoint_rows=8; gpu=none",outputs/experiments/1317_close50_legacy_270_280_policy_audit_post_28p75_seed13_replicate/figures/close50_legacy_policy_audit.png,True,True,,0.2722004471155242,255.0,2365.0,801.0,figure_validated,The old close50 270/280 Tx/Rx 40 branch is target2-only and clean there; the current branch-specific threshold is replicated non-clean at 28.75 mm and clean at 30 mm and above under the tested evidence.,Do not repeat the old Tx/Rx 40 branch or treat it as an all-target resolution result.
synthetic_2d,target0_exception_closure,1276_target0_exception_closure_policy,paper_ready_policy_figure,Target0 weak-exact exception closure mechanism.,baseline=0.0003873; best_spacing=0.000484258; source_density=0.000529647; gpu=none,outputs/experiments/1276_target0_exception_closure_policy/figures/target0_exception_closure_policy.png,True,True,,0.39077167173413707,255.0,1804.0,835.0,figure_validated,Existing source-density follow-up closes the modern target0 exception; spacing-only probes improved but remained weak.,Do not launch or imply a remaining target0 GPU exception branch.
synthetic_2d,modern_ringdown050_gpu_queue,1277_modern_ringdown050_exception_status,paper_ready_queue_figure,Current synthetic GPU-priority queue status.,modern_open=0; modern_closed=1; legacy=1; gpu=none,outputs/experiments/1277_modern_ringdown050_exception_status/figures/modern_ringdown050_exception_status.png,True,True,,0.33708582834331335,255.0,1515.0,835.0,figure_validated,No modern ringdown050 weak-exact exception remains open.,Do not use the legacy ringdown025 caveat as a modern ringdown050 GPU priority.
field_2d,survey_geometry_boundary,015_gssi51600s_survey_geometry_audit,independent_2d_line_profiles,2D line-profile geometry boundary,profile_count=4.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/015_gssi51600s_survey_geometry_audit/figures/survey_geometry_audit.png,True,True,,0.1690623609507551,255.0,2059.0,835.0,,,
field_2d,short_content_waveform_qc,035_gssi51600s_content_backed_waveform_panels,content_backed_waveform_visual_qc,short-profile content-backed field-to-synthetic QC,min_abs_corr=0.8194940543205603,outputs/field_experiments/local_gssi_51600s_2026_06_09/035_gssi51600s_content_backed_waveform_panels/figures/content_backed_waveform_panels.png,True,True,,0.07158337258121562,255.0,2195.0,1243.0,,,
field_2d,short_supported_stack_intervals,049_gssi51600s_supported_interval_visual_qc,supported_interval_visual_qc_ready,short-profile supported corrected-stack interval QC,min_corrected_interval_abs_corr=0.909284529790766,outputs/field_experiments/local_gssi_51600s_2026_06_09/049_gssi51600s_supported_interval_visual_qc/figures/supported_interval_visual_qc.png,True,True,,0.5161386019673331,255.0,2569.0,1753.0,,,
field_2d,long_pattern_visual_qc,057_gssi51600s_long_profile_pattern_visual_qc,long_profile_pattern_visual_qc_ready,long-profile pattern-only visual QC,min_shifted_abs_corr=0.889509154796464,outputs/field_experiments/local_gssi_51600s_2026_06_09/057_gssi51600s_long_profile_pattern_visual_qc/figures/long_profile_pattern_visual_qc.png,True,True,,0.5057685392507436,255.0,2602.0,2875.0,,,
field_2d,long_pattern_holdout_qc,058_gssi51600s_long_profile_pattern_holdout_qc,long_profile_pattern_holdout_qc_all_candidate_anchors_supported,long-profile repeat-limited anchor holdout QC,repeat_limited_supported=2.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/058_gssi51600s_long_profile_pattern_holdout_qc/figures/long_profile_pattern_holdout_qc.png,True,True,,0.09964733775106258,255.0,1991.0,1209.0,,,
field_2d,long_pattern_window_sensitivity,060_gssi51600s_long_profile_pattern_holdout_sensitivity,long_profile_pattern_holdout_sensitivity_all_candidate_anchors_all_windows_supported,long-profile pattern-only QC time-window sensitivity,all_window_supported_anchor_count=8.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/060_gssi51600s_long_profile_pattern_holdout_sensitivity/figures/long_profile_pattern_holdout_sensitivity.png,True,True,,0.4113484826229445,255.0,2296.0,1447.0,,,
field_2d,long_pattern_width_sensitivity,061_gssi51600s_long_profile_pattern_holdout_width_sensitivity,long_profile_pattern_holdout_width_sensitivity_all_candidate_anchors_all_widths_supported,long-profile pattern-only QC spatial-width sensitivity,all_width_supported_anchor_count=8.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/061_gssi51600s_long_profile_pattern_holdout_width_sensitivity/figures/long_profile_pattern_holdout_width_sensitivity.png,True,True,,0.42905998179426075,255.0,2252.0,1481.0,,,
field_2d,long_relaxed_phase_anchor_negative_qc,064_gssi51600s_long_profiles_relaxed_phase_anchor_audit,long_profile_relaxed_phase_anchor_low_snr_not_time_zero,long-profile relaxed phase-anchor negative QC,low_snr_pick_count=10.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/064_gssi51600s_long_profiles_relaxed_phase_anchor_audit/figures/phase_convention_depth_velocity_summary.png,True,True,,0.31446985359759266,255.0,2569.0,835.0,,,
field_2d,field_bandlimited_repeatability_qc,068_gssi51600s_field_bandlimited_repeatability_audit,field_bandlimited_repeatability_short_pair_supported_long_pattern_only,field band-limited repeatability QC,short_supported_band_count=4.0,outputs/field_experiments/local_gssi_51600s_2026_06_09/068_gssi51600s_field_bandlimited_repeatability_audit/figures/field_bandlimited_repeatability.png,True,True,,0.31025615762097963,255.0,2195.0,1549.0,,,
