branch_key,seed,case_variant,run_name,config_key,background_mode,top_k,separation_profile,time_offset_family,assignment_policy_key,assignment_method,span_bonus_weight,candidate_budget,min_x_separation_mm,detected_candidate_count,assignment_status,assigned_candidate_count,assigned_x_values_mm,assigned_z_values_mm,assigned_detection_ranks,all_truths_within_tolerance,truth_hit_count,target0_hit,target1_hit,target2_hit,unique_truth_hit_count,unique_all_truths_within_tolerance,unique_target0_hit,unique_target1_hit,unique_target2_hit,assigned_truth_ranks,elapsed_time_s,objective_label,image_objective_score,best_time_offset_ps,mask_energy_mean,case_label,failure_label,unique_truth_hit_count_numeric,unique_all_truths_bool,unique_target0_bool,unique_target1_bool,unique_target2_bool,assigned_rank_sum,assigned_max_rank
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,median_top80_moderate12_wide,median,80,moderate12,wide,top20_minx20,score,0.0,20,20.0,27,assigned,3,"216,237,263","84,78,98","5,13,1",False,1,False,False,True,1,False,False,False,True,"1,2,3",0.0006086826324462891,row_background_sigma60,0.6004627878866887,400.0,0.9779314455058213,target2_close14|seed13|nominal,target0_target1_missed,1,False,False,False,True,19,13
target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top40_minx12_span2,span2,2.0,40,12.0,80,assigned,3,"217,257,270","76,86,91","31,5,20",False,2,False,True,True,2,False,False,True,True,"1,2,3",0.005298137664794922,row_background_sigma60,0.5770791463392314,350.0,0.9820451702878292,target2_close14|seed13|source_mismatch,target0_missed,2,False,False,True,True,56,31
target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,median_top80_dense4_wide,median,80,dense4,wide,top40_minx8_span1,span1,1.0,40,8.0,80,assigned,3,"215,254,263","83,91,98","30,8,1",False,2,False,True,True,2,False,False,True,True,"1,2,3",0.005618095397949219,row_background_sigma60,0.5808919938861887,400.0,0.9882568481414238,target2_close14|seed21|nominal,target0_missed,2,False,False,True,True,39,30
target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top20_minx12_span2,span2,2.0,20,12.0,80,assigned,3,"221,251,264","78,89,88","16,12,2",False,2,False,True,True,2,False,False,True,True,"1,2,3",0.0005466938018798828,row_background_sigma60,0.5836659197987865,350.0,0.978385292350257,target2_close14|seed21|source_mismatch,target0_missed,2,False,False,True,True,30,16
target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,median_top80_moderate12_wide,median,80,moderate12,wide,top10_minx8_span2,span2,2.0,10,8.0,26,assigned,3,"215,261,272","84,90,100","7,1,9",False,1,False,False,True,1,False,False,False,True,"1,3,2",0.00010037422180175781,row_background_sigma60,0.5819148080744153,400.0,0.9847899887070889,target2_close14|seed34|nominal,target0_target1_missed,1,False,False,False,True,17,9
target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top40_minx20_span2,span2,2.0,40,20.0,80,assigned,3,"215,250,271","75,91,85","36,10,29",False,2,False,True,True,2,False,False,True,True,"1,2,3",0.004617214202880859,row_background_sigma60,0.5903534644234141,350.0,0.9632527260028663,target2_close14|seed34|source_mismatch,target0_missed,2,False,False,True,True,75,36
target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,median_top80_dense4_wide,median,80,dense4,wide,top40_minx12_span2,span2,2.0,40,12.0,80,assigned,3,"245,268,280","99,88,86","29,12,3",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.004736185073852539,row_background_sigma60,0.5625673963956066,450.0,0.937526888214651,target2_close50_linear29p5|seed13|nominal,no_truth,0,False,False,False,False,44,29
target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top10_minx12_span2,span2,2.0,10,12.0,80,assigned,3,"248,266,279","99,78,79","10,5,3",False,0,False,False,False,0,False,False,False,False,"1,2,3",7.104873657226562e-05,row_background_sigma60,0.5582504020945228,350.0,0.9011524378314368,target2_close50_linear29p5|seed13|source_mismatch,no_truth,0,False,False,False,False,18,10
target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,median_top80_distinct20_baseline,median,80,distinct20,baseline,top10_minx20,score,0.0,10,20.0,22,assigned,3,"252,272,299","87,75,86","3,2,6",False,2,False,True,True,2,False,False,True,True,"2,1,3",8.392333984375e-05,row_background_sigma60,0.5508571841858693,600.0,0.8772766834384448,target2_close50_linear29p5|seed21|nominal,target0_missed,2,False,False,True,True,11,6
target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top40_minx12_span2,span2,2.0,40,12.0,80,assigned,3,"243,255,277","97,97,79","34,3,5",False,1,False,True,False,1,False,False,True,False,"1,2,3",0.004830598831176758,row_background_sigma60,0.5508617179084688,350.0,0.8744588958260646,target2_close50_linear29p5|seed21|source_mismatch,middle_only_target0_target2_missed,1,False,False,True,False,42,34
target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,median_top80_moderate12_baseline,median,80,moderate12,baseline,top10_minx20,score,0.0,10,20.0,38,assigned,3,"252,274,296","91,79,80","2,1,8",False,1,False,True,False,1,False,False,True,False,"2,1,3",7.104873657226562e-05,row_background_sigma60,0.5395989717841496,600.0,0.8518648671232619,target2_close50_linear29p5|seed34|nominal,middle_only_target0_target2_missed,1,False,False,True,False,11,8
target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,median_top80_dense4_wide,median,80,dense4,wide,top20_minx12_span2,span2,2.0,20,12.0,80,assigned,3,"250,268,280","84,79,75","6,4,20",False,1,False,True,False,1,False,False,True,False,"2,1,3",0.00054931640625,row_background_sigma60,0.5572127906421986,400.0,0.8567417379698996,target2_close50_linear29p5|seed34|source_mismatch,middle_only_target0_target2_missed,1,False,False,True,False,30,20
