objective_label,case_label,branch_key,seed,case_variant,run_name,scored_row_count,first_all_truth_rank,first_all_truth_score,top_unique_all_truths,top_unique_truth_hit_count,top_candidate_x_values_mm,top_candidate_ranks,first_truth_top1,first_truth_top10,first_truth_top50,first_truth_top200,first_truth_top1000,first_truth_top2000
median_sigma60,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,2448,254.0,0.5520311377759485,False,1,"216,237,263","5,13,1",False,False,False,False,True,True
median_sigma60,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,2676,613.0,0.5161998309806709,False,2,"217,257,270","31,5,20",False,False,False,False,True,True
median_sigma60,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,2548,113.0,0.5582544291387359,False,1,"220,258,266","4,2,1",False,False,False,True,True,True
median_sigma60,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,2684,434.0,0.544423245530878,False,2,"221,251,264","16,12,2",False,False,False,False,True,True
median_sigma60,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,2468,1230.0,0.5110963419907716,False,1,"215,246,266","10,11,1",False,False,False,False,False,True
median_sigma60,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,2640,392.0,0.5264561634650663,False,2,"215,250,271","36,10,29",False,False,False,False,True,True
median_sigma60,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,3044,,,False,1,"246,269,283","17,9,22",False,False,False,False,False,False
median_sigma60,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,3104,1983.0,0.4375907553718286,False,0,"248,266,279","10,5,3",False,False,False,False,False,True
median_sigma60,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,2976,,,False,2,"252,272,299","3,2,6",False,False,False,False,False,False
median_sigma60,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,3004,,,False,0,"246,267,280","2,6,5",False,False,False,False,False,False
median_sigma60,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,2948,,,False,1,"251,272,285","2,1,8",False,False,False,False,False,False
median_sigma60,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,3012,,,False,1,"250,268,280","6,4,20",False,False,False,False,False,False
row_background_sigma100,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,2448,831.0,0.5643549325656049,False,1,"216,253,263","5,3,1",False,False,False,False,True,True
