case_label,source_plan_case_label,branch_key,seed,case_variant,xz_contract_status,review_assignment,truth_radius_values_mm,truth_radius_pattern_key,radius_prior_available_from_synthetic_plan,material_prior_available_from_config,detector_radius_seed_available,detector_material_seed_available,controlled_synthetic_prior_contract_ready,detector_inferred_radius_material_contract_ready,ready_for_narrow_refinement_launch,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14|seed13|nominal,noise15p361328125_seed13,target2_close14,13,nominal,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close14|seed13|source_mismatch,source_mismatch_noise15p361328125_seed13,target2_close14,13,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close14|seed21|nominal,noise15p361328125_seed21,target2_close14,21,nominal,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close14|seed21|source_mismatch,source_mismatch_noise15p361328125_seed21,target2_close14,21,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close14|seed34|nominal,noise15p361328125_seed34,target2_close14,34,nominal,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close14|seed34|source_mismatch,source_mismatch_noise15p361328125_seed34,target2_close14,34,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed13|nominal,noise10_seed13,target2_close50_linear29p5,13,nominal,excluded_review_case,True,"5,6,8","5,6,8",True,True,False,False,False,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed13|source_mismatch,source_mismatch_noise10_seed13,target2_close50_linear29p5,13,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed21|nominal,noise10_seed21,target2_close50_linear29p5,21,nominal,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed21|source_mismatch,source_mismatch_noise10_seed21,target2_close50_linear29p5,21,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed34|nominal,noise10_seed34,target2_close50_linear29p5,34,nominal,excluded_review_case,True,"5,6,8","5,6,8",True,True,False,False,False,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
target2_close50_linear29p5|seed34|source_mismatch,source_mismatch_noise10_seed34,target2_close50_linear29p5,34,source_mismatch,stable_in_contract,False,"5,6,8","5,6,8",True,True,False,False,True,False,False,False,controlled synthetic prior scope for stable saved detector cases,"detector-inferred radius/material claims, field transfer, GPU/FWI launch"
