case_label,branch_key,seed,case_variant,combo_count,all_truth_combo_count,target0_combo_count,target1_combo_count,target2_combo_count,best_objective,best_first_all_truth_rank,best_budget_label,all_truth_manifold_label,sum_first_all_truth_rank,span_bonus_first_all_truth_rank,min_first_all_truth_rank,min_span_first_all_truth_rank,balanced_first_all_truth_rank,mask_first_all_truth_rank
target2_close14|seed13|nominal,target2_close14,13,nominal,1140,8,580,171,324,mask,5.0,top10_candidate,narrow_all_truth_manifold,108.0,30.0,225.0,68.0,42.0,5.0
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,1140,4,324,324,171,min_span,4.0,top10_candidate,narrow_all_truth_manifold,64.0,19.0,27.0,4.0,27.0,94.0
target2_close14|seed21|nominal,target2_close14,21,nominal,1140,4,324,171,324,span_bonus,7.0,top10_candidate,narrow_all_truth_manifold,44.0,7.0,222.0,89.0,8.0,41.0
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,1140,4,324,324,171,min_span,18.0,top50_candidate,narrow_all_truth_manifold,73.0,28.0,30.0,18.0,32.0,112.0
target2_close14|seed34|nominal,target2_close14,34,nominal,1140,12,324,324,460,mask,29.0,top50_candidate,broad_all_truth_manifold,187.0,81.0,292.0,98.0,110.0,29.0
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,1140,8,324,324,324,span_bonus,19.0,top50_candidate,narrow_all_truth_manifold,65.0,19.0,88.0,53.0,22.0,25.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,680,1,120,120,120,span_bonus,129.0,top200_candidate,sparse_all_truth_manifold,269.0,129.0,394.0,276.0,145.0,160.0
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,680,1,120,120,120,span_bonus,17.0,top50_candidate,sparse_all_truth_manifold,192.0,17.0,386.0,44.0,27.0,145.0
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,1140,2,171,171,324,span_bonus,104.0,top200_candidate,sparse_all_truth_manifold,351.0,104.0,714.0,180.0,135.0,309.0
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,1140,2,171,324,171,span_bonus,6.0,top10_candidate,sparse_all_truth_manifold,83.0,6.0,173.0,11.0,9.0,147.0
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,1140,1,171,171,171,span_bonus,55.0,top100_candidate,sparse_all_truth_manifold,360.0,55.0,477.0,94.0,96.0,297.0
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,560,2,105,196,105,span_bonus,15.0,top50_candidate,sparse_all_truth_manifold,94.0,15.0,226.0,67.0,22.0,77.0
