gate_key,evidence_source,current_value,evidence_count,trigger_threshold,triggered,status,gpu_action,manuscript_use,next_action
geometry_stability,1312 acquisition surface,1.0,133.0,trigger if any canonical target1 row loses exact x/z/r,False,closed_no_probe,none,"Target1 is a confidence-policy example, not a localization failure.",Keep target1 in the manuscript as exact geometry with conservative base margins.
base_margin_weak_exact,1261 weak-exact audit + 1312 surface,0.3233082706766917,43.0,weak base rows alone do not trigger GPU if exact and secondary-confirmed,False,manuscript_confidence_policy,none,Use the weak-exact count to separate point recovery from confidence margin.,Do not rerun solely to inflate the canonical base-margin label.
ringdown050_secondary_confirmation,1261 weak-exact subset policy,1.0,36.0,trigger only if modern ringdown050 late_high confirmation fails,False,closed_no_probe,none,Late_high is a secondary confirmation objective for modern weak-exact target1 rows.,"Keep late_high as diagnostic evidence, not as a replacement production gate."
modern_secondary_exception,1314 source-density exception map,0.0,17.0,trigger if modern source-density exception count is > 0,False,closed_no_probe,none,Current modern branches have no secondary-confirmation exception.,No target1 GPU rerun unless a modern exception appears under a new hypothesis.
source_density_monotonic_rescue,1312 branch policy + 1314 exception map,3.0,17.0,trigger only if terminal/high-source branches improve consistently,False,do_not_extend_source_density,none,Source density is nonmonotonic; 11-source endpoints are not a rescue rule.,Do not continue target1 source-count escalation under the current setup.
all_base_weak_branches,1314 exception branch map,3.0,17.0,all-base-weak branches trigger GPU only with modern secondary failure,False,secondary_confirmed_no_gpu,none,All-base-weak branches are useful negative confidence-policy evidence.,Report them as exact-but-weak branches; do not rerun without new physics/objective.
txrx60_boundary,1312 acquisition surface,0.7142857142857143,105.0,trigger if Tx/Rx boundary contains a modern secondary exception,False,closed_no_probe,none,60 mm has the strongest current target1 Tx/Rx support but is still a confidence-policy surface.,Do not run a target1 Tx/Rx probe unless a new offset hypothesis is defined.
source5_reference,1312 acquisition surface,0.7227722772277227,101.0,5-source reference is retained unless geometry failures appear,False,reference_setting,none,Five sources are the best-supported reference setting in the saved target1 archive.,Use as the reference row in target1 acquisition-policy tables.
global_next_question_matrix,1323 synthetic next-question matrix,0.0,10.0,trigger if immediate or conditional GPU candidate count is > 0,False,closed_no_probe,none,The current synthetic queue has no target1 GPU follow-up.,Move local effort to field QC or a new CPU-first baseline question.
legacy_ringdown025_exception,1261 weak-exact audit + 1314 exception map,1.0,17.0,legacy ringdown025 caveat is not a modern target1 GPU trigger,False,archive_caveat_no_gpu,none,Mention run 785 as a legacy caveat if discussing full-archive secondary objectives.,Keep the caveat out of modern target1 probe planning.
