case_label,branch_key,seed,case_variant,objective_label,combo_count,first_all_truth_rank,all_truth_count_top10,all_truth_count_top50,top_unique_truth_hit_count,top_unique_all_truths,top_candidate_ranks,top_candidate_x_values_mm
target2_close14|seed13|nominal,target2_close14,13,nominal,sum,1140,108,0,0,1,False,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,span_bonus,1140,30,0,2,1,False,"7,2,1","221,261,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,min,1140,225,0,0,1,False,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,min_span,1140,68,0,0,1,False,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,balanced,1140,42,0,1,1,False,"7,2,1","221,261,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,mask,1140,5,1,4,2,False,"18,6,1","209,249,265"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,sum,1140,64,0,0,1,False,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,span_bonus,1140,19,0,2,2,False,"7,1,2","187,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,min,1140,27,0,1,1,False,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,min_span,1140,4,1,4,1,False,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,balanced,1140,27,0,2,1,False,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,mask,1140,94,0,0,1,False,"9,6,1","188,239,264"
target2_close14|seed21|nominal,target2_close14,21,nominal,sum,1140,44,0,1,2,False,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,span_bonus,1140,7,1,3,1,False,"6,2,1","220,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,min,1140,222,0,0,2,False,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,min_span,1140,89,0,0,2,False,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,balanced,1140,8,1,3,2,False,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,mask,1140,41,0,2,1,False,"6,5,1","220,251,266"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,sum,1140,73,0,0,1,False,"3,2,1","248,251,263"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,span_bonus,1140,28,0,2,0,False,"10,2,1","181,251,263"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,min,1140,30,0,2,1,False,"3,2,1","248,251,263"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,min_span,1140,18,0,2,2,False,"3,1,4","248,263,271"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,balanced,1140,32,0,1,0,False,"10,2,1","181,251,263"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,mask,1140,112,0,0,2,False,"7,3,1","194,248,263"
