branch_key,seed,case_variant,run_name,config_key,background_mode,top_k,separation_profile,time_offset_family,assignment_policy_key,candidate_budget,min_x_separation_mm,detected_candidate_count,assignment_status,assigned_candidate_count,assigned_x_values_mm,assigned_z_values_mm,assigned_detection_ranks,all_truths_within_tolerance,truth_hit_count,target0_hit,target1_hit,target2_hit,unique_truth_hit_count,unique_all_truths_within_tolerance,unique_target0_hit,unique_target1_hit,unique_target2_hit,assigned_truth_ranks,elapsed_time_s
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top10_minx12,10,12.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,6.127357482910156e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top10_minx20,10,20.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,5.7697296142578125e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top10_minx45,10,45.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,5.650520324707031e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top10_minx8,10,8.0,20,assigned,3,"257,265,273","91,85,89","6,1,7",False,2,False,True,True,2,False,False,True,True,"3,1,2",0.00011706352233886719
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top20_minx12,20,12.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0005078315734863281
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top20_minx20,20,20.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0005044937133789062
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top20_minx45,20,45.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0005049705505371094
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top20_minx8,20,8.0,20,assigned,3,"257,265,273","91,85,89","6,1,7",False,2,False,True,True,2,False,False,True,True,"3,1,2",0.0005371570587158203
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top40_minx12,40,12.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0005035400390625
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top40_minx20,40,20.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0004987716674804688
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top40_minx45,40,45.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0004971027374267578
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,top40_minx8,40,8.0,20,assigned,3,"257,265,273","91,85,89","6,1,7",False,2,False,True,True,2,False,False,True,True,"3,1,2",0.0005383491516113281
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top10_minx12,10,12.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,6.127357482910156e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top10_minx20,10,20.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,5.745887756347656e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top10_minx45,10,45.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,5.698204040527344e-05
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top10_minx8,10,8.0,20,assigned,3,"252,264,273","79,79,80","3,2,7",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.00010180473327636719
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top20_minx12,20,12.0,20,assigned,3,"245,259,273","79,80,80","17,1,7",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.0005207061767578125
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top20_minx20,20,20.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0005028247833251953
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top20_minx45,20,45.0,20,no_assignment_satisfies_separation,0,,,,False,0,False,False,False,0,False,False,False,False,,0.0004985332489013672
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,top20_minx8,20,8.0,20,assigned,3,"252,264,273","79,79,80","3,2,7",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.0005726814270019531
