case_label,branch_key,seed,case_variant,component_count,exact_radius_values_mm,x_seed_values_mm,z_seed_values_mm,min_pair_clearance_mm,overlapping_pair_count,overlapping_pair_keys,repair_required_mm,repair_within_default_step,exact_radius_seed_nonoverlap_ready,direct_fixed_radius_pilot_ready,ready_for_repair_preflight,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14|seed13|nominal,target2_close14,13,nominal,3,"5,6,8","185,250,265","97,81,85",1.5241746962600242,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,3,"5,6,8","188,252,264","85,87,81",-0.5835921350012612,1,1-2,0.5835921350012612,True,False,False,True,False,repair/preflight blocker before fixed-radius local pilot,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close14|seed21|nominal,target2_close14,21,nominal,3,"5,6,8","191,254,266","86,91,91",-2.0,1,1-2,2.0,True,False,False,True,False,repair/preflight blocker before fixed-radius local pilot,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,3,"5,6,8","190,248,263","95,86,81",1.8113883008418963,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close14|seed34|nominal,target2_close14,34,nominal,3,"5,6,8","190,260,272","85,87,92",-1.0,1,1-2,1.0,True,False,False,True,False,repair/preflight blocker before fixed-radius local pilot,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,3,"5,6,8","191,247,261","93,85,83",0.142135623730951,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,3,"5,6,8","187,253,303","102,100,101",36.00999900019995,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,3,"5,6,8","188,253,298","97,101,97",31.17742799230607,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,3,"5,6,8","188,252,294","97,82,80",28.04759208325728,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,3,"5,6,8","182,250,295","89,84,89",31.276925690687087,0,,0.0,False,True,True,False,False,direct fixed-radius local pilot seed,"broad GPU queue, detector-inferred radius/material, field transfer, FWI launch"
