case_label,branch_key,seed,case_variant,selection_mode,selected_x_values_mm,selected_z_values_mm,selected_component_count,component_candidate_count,detector_reliability_label,truth_free_stable_assignment,review_assignment,success_fraction_truth_eval,all_variant_success,best_variant_all_slots_hit,max_target_slot_abs_error_mm,coarse_error_gate_mm,coarse_error_gate_pass,radius_seed_available,material_seed_available,candidate_component_seed_ready,gpu_refinement_launch_ready,launch_blocker
target2_close14|seed13|nominal,target2_close14,13,nominal,close_pair,"185,250,265","97,81,85",3,20,stable_truth_free_assignment,True,False,1.0,True,True,5.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,close_pair,"188,252,264","85,87,81",3,20,stable_truth_free_assignment,True,False,1.0,True,True,2.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close14|seed21|nominal,target2_close14,21,nominal,close_pair,"191,254,266","86,91,91",3,20,stable_truth_free_assignment,True,False,1.0,True,True,4.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,close_pair,"190,248,263","95,86,81",3,20,stable_truth_free_assignment,True,False,1.0,True,True,2.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close14|seed34|nominal,target2_close14,34,nominal,close_pair,"190,260,272","85,87,92",3,20,stable_truth_free_assignment,True,False,1.0,True,True,10.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,close_pair,"191,247,261","93,85,83",3,20,stable_truth_free_assignment,True,False,1.0,True,True,3.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,regular,"187,250,299","85,84,79",3,17,review_policy_grid_position_drift,False,True,0.875,False,True,3.0,10.0,True,False,False,False,False,review_assignment
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,regular,"187,253,303","102,100,101",3,17,stable_truth_free_assignment,True,False,1.0,True,True,3.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,regular,"188,253,298","97,101,97",3,20,stable_truth_free_assignment,True,False,1.0,True,True,3.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,regular,"188,252,294","97,82,80",3,20,stable_truth_free_assignment,True,False,1.0,True,True,6.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,regular,"183,256,296","97,99,76",3,20,review_policy_grid_position_drift,False,True,0.53125,False,True,7.0,10.0,True,False,False,False,False,review_assignment
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,regular,"182,250,295","89,84,89",3,16,stable_truth_free_assignment,True,False,1.0,True,True,8.0,10.0,True,False,False,True,False,missing_radius_material_and_independent_validation
