case_label,branch_key,seed,case_variant,selected_all_truth,selected_failure_label,target_failure_scope,missing_target_count,missing_target0,missing_target1,missing_target2,selected_unique_truth_hit_count,best_truth_unique_truth_hit_count,all_truth_triple_count,required_selector_gain_to_choose_truth,dominant_loss_feature,selected_candidate_ranks,selected_candidate_x_values_mm,selected_candidate_z_values_mm,best_truth_candidate_ranks,best_truth_candidate_x_values_mm,best_truth_candidate_z_values_mm
target2_close14|seed13|nominal,target2_close14,13,nominal,False,missing_target0,single_target_missing,1,True,False,False,2,3,8,0.03508449807308445,signed_gap_prior_score,"14,6,1","186,249,265","77,93,85","13,6,1","185,249,265","97,93,85"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,False,missing_target1,single_target_missing,1,False,True,False,2,3,4,0.18097749906867877,signed_gap_prior_score,"9,3,2","188,250,266","85,78,90","9,4,2","188,252,266","85,87,90"
target2_close14|seed21|nominal,target2_close14,21,nominal,False,missing_target1,single_target_missing,1,False,True,False,2,3,4,0.1041520748840683,signed_gap_prior_score,"13,5,1","191,251,266","86,78,91","18,3,1","198,254,266","95,91,91"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,False,missing_target1_target2,multi_target_missing,2,False,True,True,1,3,4,0.1541958996372459,score_hybrid_span_component,"7,2,1","194,251,263","86,76,81","12,6,4","190,253,271","95,94,91"
target2_close14|seed34|nominal,target2_close14,34,nominal,True,all_truth,selected_truth,0,False,False,False,3,3,12,0.0,selected_truth,"14,7,1","190,248,260","85,89,87","14,7,1","190,248,260","85,89,87"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,True,all_truth,selected_truth,0,False,False,False,3,3,8,0.0,selected_truth,"10,5,1","188,247,261","83,85,83","10,5,1","188,247,261","83,85,83"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,False,missing_target0_target1_target2,multi_target_missing,3,True,True,True,0,3,1,0.3372921668568104,signed_gap_prior_score,"7,2,10","184,250,301","110,102,103","15,3,8","187,250,294","85,84,92"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,False,missing_target0_target1,multi_target_missing,2,True,True,False,1,3,1,0.5505405776977454,signed_gap_prior_score,"9,3,11","187,253,305","102,100,90","15,2,11","182,258,305","90,90,90"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,False,missing_target1_target2,multi_target_missing,2,False,True,True,1,3,2,0.28614967362496546,signed_gap_prior_score,"18,1,16","188,253,303","97,101,109","18,3,11","188,256,301","97,89,87"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,True,all_truth,selected_truth,0,False,False,False,3,3,2,0.0,selected_truth,"12,2,9","188,253,303","97,93,91","12,2,9","188,253,303","97,93,91"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,False,missing_target0_target1,multi_target_missing,2,True,True,False,1,3,1,0.5357095568618399,signed_gap_prior_score,"13,4,10","185,251,303","109,75,93","16,2,10","183,257,303","97,87,93"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,False,missing_target0,single_target_missing,1,True,False,False,2,3,2,0.03866471717740372,score_component_balanced,"8,3,7","181,248,295","102,96,89","13,3,7","182,248,295","89,96,89"
