domain,figure_order,figure_key,paper_role,source_run,policy_or_status,metric_summary,use_summary,figure_path
synthetic_2d,1,current_resolution_claim_map,main_synthetic_result,1307_synthetic_2d_resolution_claim_map_current,paper_ready_current_policy_figure,rows=8; nonoverlap=14.0 mm; close14_near_ties=6.0; close50_clean_seeds=2.0/3.0; gpu=none_now,Current manuscript-facing synthetic 2D resolution claim map.,outputs/experiments/1307_synthetic_2d_resolution_claim_map_current/figures/synthetic_2d_resolution_claim_map.png
synthetic_2d,2,resolution_envelope,main_synthetic_result,1239_coordinate_resolution_policy_synthesis,paper_ready_policy_figure,groups=15; clean=12; 35mm_clean_limit=30.0 mm; 45mm_clean_limit=14.0 mm,Acquisition-aware close-spacing resolution envelope.,outputs/experiments/1239_coordinate_resolution_policy_synthesis/figures/coordinate_resolution_policy.png
synthetic_2d,3,weak_exact_secondary_confirmation,synthetic_supporting_policy,1262_coordinate_weak_exact_secondary_confirmation_audit_700_1259,paper_ready_policy_figure,"weak_exact=166; target2_full=target2; near=target0, target1",Separate point recovery from base-margin confidence.,outputs/experiments/1262_coordinate_weak_exact_secondary_confirmation_audit_700_1259/figures/weak_exact_secondary_confirmation_audit.png
synthetic_2d,4,target1_acquisition_confidence_surface,main_synthetic_result,1312_target1_acquisition_confidence_surface,paper_ready_target1_policy_figure,rows=133; exact=133; weak_exact=43; late_high=132/133; lower_best=7; terminal11_worse=2/2; gpu=none_now,Target1 acquisition-confidence and source-count behavior.,outputs/experiments/1312_target1_acquisition_confidence_surface/figures/target1_acquisition_confidence_surface.png
synthetic_2d,5,target1_source_density_exception_map,main_synthetic_result,1314_target1_source_density_exception_map,paper_ready_target1_queue_figure,series=17; modern_exceptions=0; legacy_exceptions=1; terminal11_worse=2/2; gpu=none,Target1 source-density exception closure and no-GPU queue.,outputs/experiments/1314_target1_source_density_exception_map/figures/target1_source_density_exception_map.png
synthetic_2d,6,close50_sub30_boundary,synthetic_supporting_policy,1275_close50_linear_sub30_bracket_policy,paper_ready_caveat_figure,"tested_offsets=29.5,29.75 mm; strong_rows=6; x_ambiguous=2",Close50 sub-30 receiver-geometry boundary caveat.,outputs/experiments/1275_close50_linear_sub30_bracket_policy/figures/close50_linear_sub30_bracket_policy.png
synthetic_2d,7,close50_legacy_midpoint_refresh,synthetic_supporting_policy,1317_close50_legacy_270_280_policy_audit_post_28p75_seed13_replicate,paper_ready_legacy_refresh_figure,"first_clean=30.0 mm; nonclean=25,27.5,28.75 mm; clean=30,35,40 mm; replicated_midpoint=28.75 mm; midpoint_rows=8; gpu=none",Replicated-midpoint refresh of the old close50 270/280 branch.,outputs/experiments/1317_close50_legacy_270_280_policy_audit_post_28p75_seed13_replicate/figures/close50_legacy_policy_audit.png
synthetic_2d,8,target0_exception_closure,synthetic_supporting_policy,1276_target0_exception_closure_policy,paper_ready_policy_figure,baseline=0.0003873; best_spacing=0.000484258; source_density=0.000529647; gpu=none,Target0 weak-exact exception closure mechanism.,outputs/experiments/1276_target0_exception_closure_policy/figures/target0_exception_closure_policy.png
synthetic_2d,9,modern_ringdown050_gpu_queue,synthetic_supporting_policy,1277_modern_ringdown050_exception_status,paper_ready_queue_figure,modern_open=0; modern_closed=1; legacy=1; gpu=none,Current synthetic GPU-priority queue status.,outputs/experiments/1277_modern_ringdown050_exception_status/figures/modern_ringdown050_exception_status.png
field_2d,1,survey_geometry_boundary,field_guardrail_supplement,015_gssi51600s_survey_geometry_audit,independent_2d_line_profiles,profile_count=4.0,2D line-profile geometry boundary,outputs/field_experiments/local_gssi_51600s_2026_06_09/015_gssi51600s_survey_geometry_audit/figures/survey_geometry_audit.png
field_2d,2,short_content_waveform_qc,field_primary_supplement,035_gssi51600s_content_backed_waveform_panels,content_backed_waveform_visual_qc,min_abs_corr=0.8194940543205603,short-profile content-backed field-to-synthetic QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/035_gssi51600s_content_backed_waveform_panels/figures/content_backed_waveform_panels.png
field_2d,3,short_supported_stack_intervals,field_primary_supplement,049_gssi51600s_supported_interval_visual_qc,supported_interval_visual_qc_ready,min_corrected_interval_abs_corr=0.909284529790766,short-profile supported corrected-stack interval QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/049_gssi51600s_supported_interval_visual_qc/figures/supported_interval_visual_qc.png
field_2d,4,long_pattern_visual_qc,field_guardrail_supplement,057_gssi51600s_long_profile_pattern_visual_qc,long_profile_pattern_visual_qc_ready,min_shifted_abs_corr=0.889509154796464,long-profile pattern-only visual QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/057_gssi51600s_long_profile_pattern_visual_qc/figures/long_profile_pattern_visual_qc.png
field_2d,5,long_pattern_holdout_qc,field_guardrail_supplement,058_gssi51600s_long_profile_pattern_holdout_qc,long_profile_pattern_holdout_qc_all_candidate_anchors_supported,repeat_limited_supported=2.0,long-profile repeat-limited anchor holdout QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/058_gssi51600s_long_profile_pattern_holdout_qc/figures/long_profile_pattern_holdout_qc.png
field_2d,6,long_pattern_window_sensitivity,field_guardrail_supplement,060_gssi51600s_long_profile_pattern_holdout_sensitivity,long_profile_pattern_holdout_sensitivity_all_candidate_anchors_all_windows_supported,all_window_supported_anchor_count=8.0,long-profile pattern-only QC time-window sensitivity,outputs/field_experiments/local_gssi_51600s_2026_06_09/060_gssi51600s_long_profile_pattern_holdout_sensitivity/figures/long_profile_pattern_holdout_sensitivity.png
field_2d,7,long_pattern_width_sensitivity,field_guardrail_supplement,061_gssi51600s_long_profile_pattern_holdout_width_sensitivity,long_profile_pattern_holdout_width_sensitivity_all_candidate_anchors_all_widths_supported,all_width_supported_anchor_count=8.0,long-profile pattern-only QC spatial-width sensitivity,outputs/field_experiments/local_gssi_51600s_2026_06_09/061_gssi51600s_long_profile_pattern_holdout_width_sensitivity/figures/long_profile_pattern_holdout_width_sensitivity.png
field_2d,8,long_relaxed_phase_anchor_negative_qc,field_guardrail_supplement,064_gssi51600s_long_profiles_relaxed_phase_anchor_audit,long_profile_relaxed_phase_anchor_low_snr_not_time_zero,low_snr_pick_count=10.0,long-profile relaxed phase-anchor negative QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/064_gssi51600s_long_profiles_relaxed_phase_anchor_audit/figures/phase_convention_depth_velocity_summary.png
field_2d,9,field_bandlimited_repeatability_qc,field_guardrail_supplement,068_gssi51600s_field_bandlimited_repeatability_audit,field_bandlimited_repeatability_short_pair_supported_long_pattern_only,short_supported_band_count=4.0,field band-limited repeatability QC,outputs/field_experiments/local_gssi_51600s_2026_06_09/068_gssi51600s_field_bandlimited_repeatability_audit/figures/field_bandlimited_repeatability.png
field_2d,10,field_event_support_tiers,field_guardrail_supplement,110_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc,field_event_support_tiers_timing_discriminant_hpc_2d_qc_ready_not_fwi,tier_row_count=11.0,measured-field event support tier table,outputs/field_experiments/local_gssi_51600s_2026_06_09/110_gssi51600s_field_event_support_tiers_post_timing_discriminant_hpc/figures/field_event_support_tiers.png
field_2d,11,field_time_zero_uncertainty_budget,field_primary_supplement,075_gssi51600s_field_time_zero_uncertainty_budget,field_time_zero_uncertainty_budget_short_pair_relative_qc_not_absolute,conservative_half_width_ns=0.058939096267190516,short-profile relative time-zero uncertainty budget,outputs/field_experiments/local_gssi_51600s_2026_06_09/075_gssi51600s_field_time_zero_uncertainty_budget/figures/field_time_zero_uncertainty_budget.png
